alg,in-scale,num-ratings,field,value
ItemUserMean,5,15,MI-10-corrected.ByUser,-0.64950238406
ItemUserMean,5,15,MI-2-corrected,0.114706428418
ItemUserMean,5,15,NRMSE,0.235292838243
ItemUserMean,5,15,MI-50,0.203545211579
ItemUserMean,5,15,MI-20-corrected.ByUser,-1.59029232225
ItemUserMean,5,15,MI-20-corrected,0.201120394674
ItemUserMean,5,15,MI-10,0.193278885127
ItemUserMean,5,15,MI-5.ByUser,0.207649444735
ItemItem,5,10,MI-native-corrected,0.14716763701
ItemItem,5,10,RMSE.ByUser,1.01695679036
ItemItem,5,10,MI-native,0.147173841658
ItemItem,5,10,NAttempted,1860254.8
ItemItem,5,10,MI-100-corrected,0.165868478761
ItemItem,5,10,MI-50.ByUser,0.842109864829
ItemItem,5,10,MI-2.ByUser,0.116739835957
ItemItem,5,10,NRMSE.ByUser,0.254239197591
ItemItem,5,10,NMAE,0.202756751542
ItemItem,5,10,MI-20,0.164563292868
ItemItem,5,10,MAE,0.811027006166
ItemItem,5,10,MI-native.ByUser,0.252425239621
ItemItem,5,10,NMAE.ByUser,0.203911675089
ItemItem,5,10,RMSE.ByRating,1.0443965795
ItemItem,5,10,NUsers,13975.6
ItemItem,5,10,MI-50-corrected,0.165680012334
ItemItem,5,10,TestTime,21041.4
ItemItem,5,10,MI-2-corrected.ByUser,0.039231993349
ItemItem,5,10,nDCG,0.949695373967
ItemItem,5,10,MI-100.ByUser,1.06026119312
ItemItem,5,10,MI-5-corrected.ByUser,-0.0576061308103
ItemItem,5,10,MI-100,0.166022043797
ItemItem,5,10,MI-2,0.0994171118649
ItemItem,5,10,MI-5,0.147173841658
ItemItem,5,10,Coverage,1.0
ItemItem,5,10,MI-100-corrected.ByUser,-6.61301522506
ItemItem,5,10,BuildTime,507324.2
ItemItem,5,10,MI-50-corrected.ByUser,-2.95577442296
ItemItem,5,10,MI-10.ByUser,0.391132329487
ItemItem,5,10,MI-20.ByUser,0.565909837533
ItemItem,5,10,MI-5-corrected,0.14716763701
ItemItem,5,10,MI-10-corrected,0.160581936016
ItemItem,5,10,NGood,1860254.8
ItemItem,5,10,MAE.ByUser,0.815646700355
ItemItem,5,10,MI-10-corrected.ByUser,-0.306438253984
ItemItem,5,10,MI-2-corrected,0.0994155607029
ItemItem,5,10,NRMSE,0.261099144874
ItemItem,5,10,MI-50,0.16575601927
ItemItem,5,10,MI-20-corrected.ByUser,-0.906739172017
ItemItem,5,10,MI-20-corrected,0.164533820791
ItemItem,5,10,MI-10,0.160595896473
ItemItem,5,10,MI-5.ByUser,0.252425239621
ItemUserMean,5,10,MI-native-corrected,0.155605786129
ItemUserMean,5,10,RMSE.ByUser,0.950756172991
ItemUserMean,5,10,MI-native,0.155611990777
ItemUserMean,5,10,NAttempted,1860254.8
ItemUserMean,5,10,MI-100-corrected,0.187118620306
ItemUserMean,5,10,MI-50.ByUser,0.73576118805
ItemUserMean,5,10,MI-2.ByUser,0.108700426736
ItemUserMean,5,10,NRMSE.ByUser,0.237689043248
ItemUserMean,5,10,NMAE,0.189761202212
ItemUserMean,5,10,MI-20,0.184873188731
ItemUserMean,5,10,MAE,0.759044808847
ItemUserMean,5,10,MI-native.ByUser,0.204828867938
