alg,in-scale,num-ratings,field,value
ItemUserMean,2,15,NRMSE,0.454609166749
ItemUserMean,2,15,MI-20-corrected.ByUser,-1.77492527532
ItemUserMean,2,15,MI-20-corrected,0.128823699216
ItemUserMean,2,15,MI-10,0.105230248409
ItemUserMean,2,15,MI-5.ByUser,0.0209937694199
ItemItem,2,20,MI-native-corrected,0.0951521788572
ItemItem,2,20,MI-81-corrected.ByUser,-6.86565640523
ItemItem,2,20,MI-native,0.0951561042109
ItemItem,2,20,NAttempted,183805.8
ItemItem,2,20,MI-81,0.121490096185
ItemItem,2,20,MI-2.ByUser,0.0401228551561
ItemItem,2,20,NRMSE.ByUser,0.439316258151
ItemItem,2,20,NMAE,0.362758284285
ItemItem,2,20,MI-20,0.121490096185
ItemItem,2,20,MI-native.ByUser,0.0401228551561
ItemItem,2,20,NMAE.ByUser,0.354013145745
ItemItem,2,20,RMSE.ByUser,0.439316258151
ItemItem,2,20,RMSE.ByRating,0.486835885851
ItemItem,2,20,NUsers,5018.0
ItemItem,2,20,TestTime,16204.0
ItemItem,2,20,Coverage,1.0
ItemItem,2,20,nDCG,0.944831051712
ItemItem,2,20,MAE,0.362758284285
ItemItem,2,20,MI-5-corrected.ByUser,-0.30882256208
ItemItem,2,20,MI-2,0.0951561042109
ItemItem,2,20,MI-5,0.0951561042109
ItemItem,2,20,MI-2-corrected.ByUser,-0.0471134991529
ItemItem,2,20,BuildTime,11941.8
ItemItem,2,20,MI-10.ByUser,0.0659750111895
ItemItem,2,20,MI-20.ByUser,0.113251939487
ItemItem,2,20,MI-5-corrected,0.0951404027961
ItemItem,2,20,MI-10-corrected,0.111713033776
ItemItem,2,20,NGood,183805.8
ItemItem,2,20,MI-81.ByUser,0.113251939487
ItemItem,2,20,MAE.ByUser,0.354013145745
ItemItem,2,20,MI-81-corrected,0.121176067888
ItemItem,2,20,MI-10-corrected.ByUser,-0.719152177592
ItemItem,2,20,MI-2-corrected,0.0951521788572
ItemItem,2,20,NRMSE,0.486835885851
ItemItem,2,20,MI-20-corrected.ByUser,-1.54423879238
ItemItem,2,20,MI-20-corrected,0.121415514464
ItemItem,2,20,MI-10,0.11174836196
ItemItem,2,20,MI-5.ByUser,0.0401228551561
ItemUserMean,2,20,MI-native-corrected,0.113571834995
ItemUserMean,2,20,MI-81-corrected.ByUser,-6.92794486074
ItemUserMean,2,20,MI-native,0.113575760349
ItemUserMean,2,20,NAttempted,183805.8
ItemUserMean,2,20,MI-81,0.15206939422
ItemUserMean,2,20,MI-2.ByUser,0.0216943267598
ItemUserMean,2,20,NRMSE.ByUser,0.418799628186
ItemUserMean,2,20,NMAE,0.38626933617
ItemUserMean,2,20,MI-20,0.15206939422
ItemUserMean,2,20,MI-native.ByUser,0.0216943267598
ItemUserMean,2,20,NMAE.ByUser,0.384434315074
ItemUserMean,2,20,RMSE.ByUser,0.418799628186
ItemUserMean,2,20,RMSE.ByRating,0.445480087498
ItemUserMean,2,20,NUsers,5018.0
ItemUserMean,2,20,TestTime,1993.0
ItemUserMean,2,20,Coverage,1.0
ItemUserMean,2,20,nDCG,0.95000980852
ItemUserMean,2,20,MAE,0.38626933617
ItemUserMean,2,20,MI-5-corrected.ByUser,-0.327251090476
ItemUserMean,2,20,MI-2,0.113575760349
ItemUserMean,2,20,MI-5,0.113575760349
ItemUserMean,2,20,MI-2-corrected.ByUser,-0.0655420275492
ItemUserMean,2,20,BuildTime,6683.0
ItemUserMean,2,20,MI-10.ByUser,0.0266043325721
ItemUserMean,2,20,MI-20.ByUser,0.0509634839816
ItemUserMean,2,20,MI-5-corrected,0.113560058934
ItemUserMean,2,20,MI-10-corrected,0.124062148022
ItemUserMean,2,20,NGood,183805.8
ItemUserMean,2,20,MI-81.ByUser,0.0509634839816
ItemUserMean,2,20,MAE.ByUser,0.384434315074
ItemUserMean,2,20,MI-81-corrected,0.151755365924
ItemUserMean,2,20,MI-10-corrected.ByUser,-0.758522856209
ItemUserMean,2,20,MI-2-corrected,0.113571834995
ItemUserMean,2,20,NRMSE,0.445480087498
ItemUserMean,2,20,MI-20-corrected.ByUser,-1.60652724789
ItemUserMean,2,20,MI-20-corrected,0.1519948125
ItemUserMean,2,20,MI-10,0.124097476205
ItemUserMean,2,20,MI-5.ByUser,0.0216943267598
ItemItem,81,4,MI-native-corrected,0.0945877843148
